"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YGL070C",471,347,332,436,341,228,451,351,446,528
"YGL069C",0,2,0,0,0,0,2,0,0,1
"YGL068W",254,183,202,204,150,142,239,209,292,230
"YGL067W",616,548,476,675,497,287,429,359,611,467
"YGL066W",911,763,744,906,537,459,588,484,738,516
"YGL065C",575,418,434,645,378,201,395,328,451,366
"YGL064C",246,152,184,228,135,96,193,154,224,200
"YGL063W",373,322,282,347,231,199,235,216,307,267
"YGL063C-A",0,0,0,0,0,0,0,0,0,0
"YGL062W",3941,2701,2957,3728,1951,1165,1219,1250,1803,1007
"YGL061C",226,214,197,278,194,92,165,115,201,159
"YGL060W",397,356,327,370,227,185,295,226,317,264
"YGL059W",488,435,394,558,328,239,314,347,574,261
"YGL058W",737,559,568,698,455,305,475,387,562,493
"YGL057C",200,160,144,189,108,64,120,109,135,127
"YGL056C",1212,949,740,1156,667,546,864,603,914,908
"YGL055W",11028,8870,8832,12239,6775,6023,12834,9142,12281,12278
"YGL054C",1532,1041,950,1622,847,516,1089,787,1215,1027
"tE(UUC)G2",0,1,0,1,0,0,1,0,0,0
"YGL053W",375,310,325,391,262,147,193,184,357,173
"YGL052W",91,68,58,98,58,37,55,47,89,58
"YGL051W",79,70,48,69,36,29,51,36,62,39
"tR(UCU)G1",1,2,1,2,1,0,2,0,2,2
"YGL050W",446,336,316,439,246,166,357,235,360,350
"YGL049C",2340,1898,2038,2552,1395,959,1437,1107,1786,1240
"YGL048C",4193,3395,3800,4368,2787,1989,2487,2321,3552,2395
"YGL047W",790,676,593,852,550,276,296,356,505,272
"tV(AAC)G1",3,0,2,3,3,0,2,0,2,1
"YGL045W",497,475,436,537,367,198,269,253,418,248
"YGL044C",663,518,558,736,437,322,579,380,594,571
"YGL043W",670,600,625,744,465,370,501,372,573,496
"YGL042C",157,141,161,194,117,75,119,120,122,97
"YGL041C-B",12,5,4,6,2,1,6,1,3,5
"YGL041W-A",121,97,106,130,65,41,67,66,97,65
"YGL041C",0,0,0,0,0,0,0,0,0,0
"YGL040C",1928,1664,1557,1885,1211,1354,1718,1413,2146,1675
"tL(CAA)G2",0,0,0,0,0,0,0,0,0,1
"YGL039W",992,717,834,981,632,461,890,714,946,763
"YGL038C",1567,1171,1237,1556,907,608,1109,784,1229,912
"YGL037C",11428,10276,8519,11191,8838,7570,8000,8753,13685,7313
"YGL036W",2241,1620,1386,2395,1203,719,995,925,1268,885
"YGL035C",3665,2789,2364,3525,2135,1007,1479,1214,1799,1309
"YGL034C",58,33,29,49,31,5,16,2,7,6
"YGL033W",10,8,13,21,7,6,10,5,9,2
"YGL032C",262,182,179,214,161,123,167,157,213,165
"YGL031C",8231,6000,7497,9457,5247,3630,7845,6287,8670,7103
"YGL030W",22167,21333,18788,24486,17113,15150,20561,14810,25184,22010
"YGL029W",338,225,301,426,189,152,506,324,433,632
"tF(GAA)G",0,0,0,0,0,0,0,0,0,0
"YGL028C",550,455,462,503,333,763,1150,868,1312,1081
"YGL027C",2739,2614,2627,3082,1927,1076,1169,937,1670,1087
"YGL026C",5248,5115,5143,5557,3849,2777,2577,2198,3836,2841
"YGL025C",733,623,516,705,519,324,463,343,556,488
"YGL024W",24,10,11,10,9,3,8,3,6,15
"YGL023C",2675,2377,2384,2999,1836,1182,1269,1002,1703,1449
"YGL022W",5093,4781,4661,5681,3607,2840,3224,2496,4112,3252
"YGL021W",809,489,519,848,356,204,376,335,411,382
"YGL020C",1606,1126,1145,1648,996,511,902,766,1137,924
"YGL019W",1945,1750,1892,2107,1323,1151,1315,1146,1709,1353
"YGL018C",331,242,227,290,244,138,200,179,324,195
"YGL017W",720,603,495,739,443,268,413,350,516,368
"YGL016W",392,309,320,452,246,206,371,259,375,383
"YGL015C",18,4,6,14,8,3,7,4,11,10
"YGL014W",1892,1382,1337,2002,1023,762,1322,944,1368,1265
"YGL014C-A",0,0,0,0,0,0,0,0,0,0
"YGL013C",640,568,536,692,397,286,481,309,557,456
"YGL012W",5378,5407,5119,6172,4051,2766,3234,2673,4174,3007
"YGL011C",4049,3014,3128,3839,2997,1753,2603,2370,3600,2408
"YGL010W",513,312,267,513,272,122,223,209,321,167
"YGL009C",5059,3924,4360,5129,2985,2232,3850,2556,4203,3838
"YGL008C",21066,19736,22660,22712,13153,19173,27560,16169,30863,25205
"YGL007C-A",21,17,24,23,13,0,5,3,6,0
"YGL007W",36,35,26,35,23,11,7,12,24,9
"YGL006W-A",4,8,8,13,6,3,3,7,9,5
"YGL006W",3308,3012,2988,3877,2323,1730,1806,1752,3288,1633
"YGL005C",665,501,449,670,481,183,325,288,443,326
"YGL004C",664,571,482,688,456,235,325,286,467,301
"YGL003C",1195,998,876,1105,731,443,679,507,752,680
"YGL002W",925,661,670,910,508,249,512,439,655,450
"YGL001C",1837,1522,1674,1987,1356,1087,1234,1165,1938,1159
"YGR001C",582,440,454,617,348,269,474,371,547,476
"YGR002C",507,356,382,586,292,157,313,263,379,262
"YGR003W",236,159,172,223,159,83,185,115,192,153
"YGR004W",413,282,280,467,232,163,299,218,306,287
"YGR005C",1807,1372,1514,1915,1135,748,1169,942,1365,1107
"YGR006W",196,191,157,208,129,100,152,114,176,136
"YGR007W",1700,1368,1420,1739,1183,643,1090,783,1214,1071
"YGR008C",2655,2036,2109,2577,1898,3000,3058,4046,6714,2495
"YGR009C",2176,1887,2115,2713,1359,767,1082,955,1365,1058
"YGR010W",553,473,419,484,302,225,325,242,333,283
"YGR011W",77,66,57,82,36,13,42,30,34,35
"YGR012W",784,705,543,819,547,306,508,418,578,462
"YGR013W",999,834,866,1036,654,422,517,378,656,514
"YGR014W",1710,1338,1122,1523,928,811,1414,1054,1419,1444
"YGR015C",359,227,227,328,192,101,207,166,239,185
"YGR016W",143,98,82,127,61,43,60,72,77,56
"YGR017W",763,596,535,793,430,388,613,505,677,596
"YGR018C",48,33,52,62,39,34,50,34,55,39
"YGR019W",2283,1698,1599,2047,1365,1074,1074,1245,1990,912
"YGR020C",3123,2645,2089,3283,2110,1269,1994,1678,2663,1961
"YGR021W",927,635,571,769,522,474,654,542,900,633
"YGR022C",0,1,0,1,0,0,1,1,1,0
"YGR023W",1233,887,634,1085,535,401,694,524,810,571
"tD(GUC)G1",1,1,0,0,2,0,0,1,1,0
"YGR024C",941,723,623,974,669,347,628,532,742,626
"YGR025W",73,16,42,67,13,4,55,35,41,47
"YGR026W",2024,1540,1537,2269,1294,745,1262,1202,1619,1132
"YGR027C",16760,13523,13239,17811,12168,6967,13717,10387,16505,14049
"YGR027W-A",0,0,0,0,0,0,0,0,0,0
"YGR027W-B",0,0,0,0,0,0,0,1,0,0
"tE(UUC)G3",0,0,0,0,0,0,0,0,0,0
"YGR028W",819,668,740,843,503,350,425,406,650,398
"YGR029W",795,723,619,812,577,379,455,324,565,394
"tD(GUC)G2",0,0,0,2,0,0,1,1,2,0
"snR46",98,71,51,113,78,19,62,51,78,66
"YGR030C",265,184,183,262,153,49,193,130,174,194
"YGR031W",735,656,488,684,439,307,335,269,378,352
"YGR031C-A",0,0,0,0,0,0,0,0,0,0
"YGR032W",1965,1623,1519,2006,1256,1914,1471,1351,3323,1322
"YGR033C",1075,806,769,1065,578,296,645,486,627,589
"YGR034W",10405,9643,8816,11316,8086,5830,9640,6765,11602,10734
"YGR035C",88,53,47,73,49,333,937,580,632,973
"YGR035W-A",123,69,93,114,61,43,104,107,75,97
"YGR036C",441,281,300,397,210,166,380,321,386,342
"YGR037C",4276,3018,3035,4532,2618,1425,2784,2502,3163,2862
"YGR038W",546,421,443,586,323,246,393,323,488,336
"tS(AGA)G",0,0,0,0,0,0,0,0,1,0
"YGR038C-B",0,0,0,0,0,0,0,0,0,0
"YGR038C-A",0,0,0,0,0,0,0,0,0,0
"YGR039W",33,10,12,27,15,5,16,17,16,10
"YGR040W",423,409,372,453,282,186,344,254,364,347
"YGR041W",688,587,578,747,484,364,558,450,662,527
"YGR042W",726,577,502,735,508,256,357,283,460,403
"YGR043C",394,243,285,368,196,97,117,112,201,85
"YGR044C",444,373,295,453,266,500,558,598,840,475
"YGR045C",47,26,35,55,26,8,23,13,39,28
"YGR046W",827,565,524,831,411,211,492,378,508,444
"YGR047C",580,399,463,654,338,169,335,244,336,314
"YGR048W",1319,995,1046,1415,836,452,672,674,857,685
"YGR049W",632,506,396,657,423,233,478,351,451,482
"YGR050C",348,270,254,350,285,57,80,76,108,95
"YGR051C",587,414,377,661,376,39,81,51,79,68
"YGR052W",307,244,208,293,199,104,239,142,235,199
"YGR053C",220,115,141,199,114,71,116,99,121,89
"YGR054W",1424,1123,1299,1590,786,889,1512,1018,1518,1516
"YGR055W",1674,1298,1522,1694,1172,1739,1047,955,2040,1137
"YGR056W",993,746,773,1063,588,278,629,479,617,509
"YGR057C",242,192,190,252,164,99,202,157,247,175
"YGR058W",312,216,195,275,147,108,186,126,172,177
"YGR059W",55,44,44,67,33,10,14,12,21,8
"snR48",15,4,7,6,6,5,2,6,6,8
"YGR060W",3931,3936,3554,4411,3027,2226,3745,2480,4192,3792
"YGR061C",3454,3350,3822,4086,2668,4337,3603,2802,5783,3661
"YGR062C",436,379,322,393,342,162,292,239,376,274
"YGR063C",307,268,270,351,244,188,196,204,311,225
"YGR064W",9,4,3,7,2,1,6,2,5,8
"YGR065C",637,480,497,627,401,322,387,299,556,399
"YGR066C",159,94,108,147,97,46,65,99,117,83
"YGR067C",442,345,238,417,244,71,80,90,125,70
"YGR068C",576,451,471,613,383,297,384,229,420,338
"YGR068W-A",0,0,0,0,0,0,0,0,0,0
"YGR069W",18,11,12,26,11,4,13,19,12,14
"YGR070W",921,783,765,1033,545,579,691,686,1075,639
"YGR071C",426,305,310,478,255,213,398,273,391,360
"YGR072W",743,451,529,857,401,198,517,372,499,517
"YGR073C",1,0,0,2,1,0,0,0,0,0
"YGR074W",151,105,115,110,97,61,113,79,111,110
"YGR075C",282,218,158,302,217,119,242,197,298,223
"YGR076C",334,232,226,367,203,120,219,238,270,212
"YGR077C",751,598,511,740,440,284,470,397,622,460
"YGR078C",550,456,466,626,367,268,430,320,441,408
"YGR079W",45,55,63,39,74,77,151,60,101,201
"YGR080W",899,715,665,866,672,461,562,561,913,539
"YGR081C",176,146,158,187,118,97,260,143,196,249
"YGR082W",1065,687,752,939,628,617,1022,844,1205,966
"YGR083C",963,861,897,1131,573,512,981,575,950,982
"YGR084C",566,383,364,536,377,242,486,399,567,484
"YGR085C",2440,2129,2132,2533,1691,1403,2487,1725,2557,2344
"YGR086C",13733,12642,13809,14527,9194,5823,6459,5795,8757,6198
"YGR087C",261,211,184,240,133,20,18,17,30,32
"YGR088W",602,429,425,556,312,310,458,447,634,361
"YGR089W",983,615,796,999,507,244,737,543,615,660
"tT(UGU)G1",0,0,0,0,0,0,0,0,0,0
"YGR090W",929,714,717,954,576,457,1388,737,1062,1268
"YGR091W",349,235,228,313,184,87,238,184,247,230
"YGR092W",918,625,603,856,449,396,532,575,638,548
"YGR093W",591,430,383,533,297,208,421,306,433,389
"YGR094W",8136,6875,7206,9030,5168,4298,6411,4795,7588,6689
"YGR095C",795,553,542,705,506,405,712,560,787,746
"YGR096W",730,573,519,614,428,136,223,209,299,177
"YGR097W",3787,2824,2583,3758,2059,1599,1796,1729,2468,1689
"YGR098C",349,293,272,385,174,160,327,225,325,298
"YGR099W",405,325,309,430,248,170,277,240,311,267
"YGR100W",1556,1316,1386,1773,958,629,877,810,1150,780
"YGR101W",690,459,492,738,356,253,425,398,499,365
"YGR102C",399,294,275,420,240,149,312,230,344,277
"YGR103W",2288,1906,2306,2987,1126,1342,2914,1773,2452,3342
"YGR104C",362,282,275,365,260,115,256,232,288,294
"YGR105W",845,637,635,827,623,427,668,531,824,681
"YGR106C",3231,2564,2683,3233,2094,1416,2314,1895,2805,2267
"tL(GAG)G",0,1,1,1,0,1,0,1,1,2
"tK(UUU)G2",0,0,0,1,0,0,1,0,0,1
"YGR107W",50,49,28,48,39,6,7,4,6,7
"YGR108W",376,226,221,364,165,229,591,361,494,570
"YGR109C",55,24,41,48,14,20,36,33,32,17
"tC(GCA)G",0,0,1,0,0,0,0,0,0,0
"YGR109W-A",0,0,0,0,0,0,0,0,0,0
"YGR109W-B",245,199,226,259,167,65,135,75,156,126
"YGR110W",317,280,335,349,220,47,71,65,113,75
"YGR111W",620,454,564,749,409,216,358,308,429,301
"YGR112W",525,431,379,481,324,286,334,327,512,309
"YGR113W",604,453,408,683,354,190,399,288,418,382
"YGR114C",0,0,0,0,0,0,0,0,0,0
"YGR115C",0,0,0,0,0,0,0,0,0,0
"YGR116W",2380,1731,1981,2653,1451,986,1761,1330,1882,1592
"YGR117C",700,589,531,734,482,294,490,366,559,501
"YGR118W",9503,8805,9212,10209,7232,5287,8395,6397,10242,9030
"YGR119C",1471,1164,1190,1667,875,615,1155,864,1172,1104
"YGR120C",262,208,191,282,170,81,202,122,218,194
"tN(GUU)G",1,0,0,0,0,0,0,0,0,0
"YGR121C",981,806,749,830,588,528,452,373,655,444
"YGR121W-A",22,17,12,13,10,4,14,5,11,8
"YGR122W",578,420,406,592,309,217,425,303,412,363
"YGR122C-A",41,23,13,35,17,5,14,17,11,14
"tR(UCU)G3",0,0,0,0,0,0,0,1,4,1
"YGR123C",347,308,290,388,233,254,605,382,534,665
"tI(AAU)G",0,0,1,1,0,0,0,2,2,0
"YGR124W",8764,8716,8848,10005,6351,6185,5851,4857,8856,6099
"YGR125W",1132,952,970,1366,738,478,691,538,867,719
"YGR126W",40,34,37,43,21,42,50,43,51,39
"YGR127W",653,479,471,752,336,228,350,368,458,323
"YGR128C",300,224,223,286,166,181,557,294,380,584
"YGR129W",156,153,155,185,141,79,151,112,172,156
"YGR130C",5712,3930,4453,6476,3048,2161,3056,2924,4053,2659
"YGR131W",206,155,104,232,116,106,214,168,250,205
"YGR132C",2362,1751,1832,2252,1469,1304,1730,1400,2257,1643
"YGR133W",334,276,240,356,228,127,160,155,239,166
"YGR134W",814,622,640,887,524,374,550,405,605,557
"YGR135W",4584,3878,3669,4796,3240,2067,2568,2483,3753,2641
"YGR136W",1170,934,958,1222,785,477,710,649,1196,607
"YGR137W",316,286,345,424,307,122,214,224,355,174
"YGR138C",250,231,243,267,190,477,417,237,1145,390
"YGR139W",25,11,11,12,13,4,10,10,29,17
"YGR140W",367,272,243,393,182,118,257,171,275,229
"YGR141W",1017,873,850,1079,640,492,568,514,868,488
"YGR142W",335,195,289,339,220,100,292,160,407,248
"tA(AGC)G",0,0,1,1,0,0,0,0,1,0
"YGR143W",1633,1236,1104,1599,849,858,1281,1010,1367,1159
"tG(UCC)G",0,0,0,1,0,0,0,0,1,0
"YGR144W",162,125,135,154,104,29,54,47,66,62
"YGR145W",633,618,636,853,370,441,902,481,706,1046
"YGR146C",1473,835,781,1174,671,454,890,590,1187,879
"YGR146C-A",25,15,14,18,12,4,11,7,11,6
"YGR147C",1066,1021,1007,1069,754,606,945,681,989,1081
"YGR148C",5938,4426,5768,7082,3703,2757,5552,4268,5976,5301
"YGR149W",550,442,442,530,330,340,386,390,669,356
"YGR150C",541,368,450,598,386,207,508,353,541,476
"tA(UGC)G",2,0,0,2,0,0,0,0,1,0
"YGR151C",0,0,3,3,0,1,1,3,0,1
"YGR152C",552,381,394,444,304,146,286,196,296,273
"YGR153W",283,248,238,338,204,51,89,65,118,86
"YGR154C",232,166,173,206,148,121,188,150,278,165
"YGR155W",4238,3451,3717,4448,2668,3593,6347,4406,6455,6099
"YGR156W",604,457,409,637,362,263,375,295,417,318
"YGR157W",1134,946,1043,1317,730,1092,1365,1185,1762,1204
"YGR158C",315,254,235,310,242,225,509,323,391,646
"YGR159C",2945,2338,2524,3340,1969,2989,5603,3465,4752,7025
"YGR160W",2,1,2,2,1,1,4,0,3,4
"YGR161C",5704,3778,3141,5189,2968,1607,2231,1830,2544,2005
"YGR161W-C",1054,881,691,1176,645,264,321,258,455,251
"YGR161W-A",0,0,0,0,0,0,0,0,0,0
"YGR161W-B",0,0,0,0,0,0,0,0,0,0
"YGR161C-D",8,2,7,6,2,5,5,3,6,4
"YGR161C-C",0,0,0,0,0,0,0,0,0,0
"tV(AAC)G2",3,3,2,1,0,0,2,2,1,0
"YGR162W",2386,2089,2199,2696,1417,1706,3107,1890,2722,3229
"YGR163W",922,723,808,950,625,325,524,455,622,506
"YGR164W",12,6,14,35,21,8,20,20,23,16
"tR(UCU)G2",0,0,0,0,0,0,0,0,0,0
"YGR165W",554,424,390,519,361,276,447,329,509,419
"YGR166W",805,524,449,731,444,282,632,448,704,553
"YGR167W",3290,2944,3078,3759,2222,1539,1956,1883,2838,1853
"YGR168C",373,231,248,367,203,132,279,244,306,266
"YGR169C",416,308,268,361,283,137,272,221,311,303
"YGR169C-A",883,579,707,1045,516,233,571,489,576,605
"YGR170W",1159,967,1010,1363,663,578,706,576,944,671
"YGR171C",334,235,232,347,222,133,269,192,257,220
"YGR172C",722,600,527,752,469,251,494,448,633,457
"YGR173W",391,326,331,398,246,278,538,299,460,575
"tG(GCC)G1",1,1,2,0,2,0,1,1,0,0
"YGR174C",773,600,591,795,408,286,371,374,523,317
"YGR174W-A",47,17,36,41,23,7,22,25,27,8
"YGR175C",3229,2563,2876,3223,2162,1761,3500,2064,3098,3534
"YGR176W",20,19,14,19,21,30,55,37,43,59
"YGR177C",142,91,87,120,86,147,342,234,258,329
"YGR178C",4055,3521,3604,4786,2701,1562,2114,1760,2695,2129
"YGR179C",466,338,403,505,335,163,277,217,260,242
"YGR180C",4636,4130,4298,4905,3179,3485,4758,4373,6798,4921
"tL(CAA)G3",0,0,0,0,2,0,0,0,0,0
"YGR181W",698,584,534,717,508,333,339,327,586,438
"YGR182C",504,309,272,488,278,174,273,329,389,238
"YGR183C",754,431,433,717,393,284,392,457,623,320
"YGR184C",1973,1638,1717,2171,1251,936,1205,1153,1666,1186
"YGR185C",3061,2348,2484,3012,1904,1499,2745,2106,2996,2810
"YGR186W",2962,2708,3003,3793,1848,1307,1700,1343,2107,1688
"YGR187C",360,263,311,427,257,206,567,335,486,513
"YGR188C",167,110,104,172,93,45,88,69,83,86
"tK(CUU)G3",0,0,0,0,0,0,0,1,0,0
"YGR189C",11061,9664,9014,12054,7514,3981,4061,3753,7273,3525
"tW(CCA)G2",0,0,0,0,0,0,0,0,0,0
"YGR190C",22,16,14,23,10,15,27,24,35,27
"YGR191W",1546,1375,1516,1521,1070,811,1319,987,1641,1264
"YGR192C",167426,163536,173245,167124,129736,159252,165245,143939,271082,187430
"YGR193C",1828,1344,1411,1829,1247,745,1022,918,1387,1063
"YGR194C",932,710,724,992,548,347,475,504,699,366
"YGR195W",578,456,435,617,383,305,567,435,544,613
"YGR196C",879,825,876,1027,644,434,608,419,718,555
"YGR197C",697,423,398,636,315,173,263,227,305,290
"YGR198W",1193,832,848,1205,676,411,916,688,904,838
"YGR199W",744,657,653,812,507,327,576,430,675,487
"YGR200C",769,617,666,855,381,394,889,479,761,941
"YGR201C",303,275,244,341,224,162,216,189,334,212
"YGR202C",1203,811,972,1113,755,693,925,768,1244,985
"YGR203W",497,579,506,581,522,277,275,222,396,273
"YGR204W",7997,7236,7593,8118,5617,6859,4208,4017,8211,4334
"YGR204C-A",79,44,39,83,26,27,50,40,68,35
"YGR205W",955,763,679,1084,506,419,506,578,682,418
"YGR206W",221,168,116,214,136,78,165,129,195,124
"YGR207C",1140,896,1067,1231,844,369,622,572,884,556
"YGR208W",679,689,832,717,856,765,835,610,1222,897
"YGR209C",4337,4094,3928,4786,3909,2469,3135,3401,5324,3274
"YGR210C",1409,1436,1284,1518,1006,1027,1447,949,1434,1466
"YGR211W",538,405,451,468,336,557,1080,489,957,1141
"YGR212W",214,127,168,199,143,79,140,128,212,132
"YGR213C",225,159,199,187,143,123,134,95,275,124
"YGR214W",11553,10459,10886,12857,8254,7867,11219,7949,13470,11864
"YGR215W",310,187,243,333,202,110,240,230,290,238
"YGR216C",595,440,434,619,390,196,416,310,407,400
"YGR217W",575,443,430,654,326,186,439,296,407,370
"tG(GCC)G2",0,0,0,0,0,0,2,0,0,0
"YGR218W",2401,1826,1846,2632,1398,910,1972,1371,2060,1717
"YGR219W",20,6,12,15,8,6,28,11,14,9
"YGR220C",419,298,306,397,206,172,296,281,346,279
"YGR221C",482,401,338,519,347,242,303,303,454,258
"snR7-L",0,1,0,3,1,0,0,0,1,0
"snR7-S",0,0,0,0,0,0,0,0,0,0
"YGR222W",446,324,320,511,274,130,314,225,358,301
"YGR223C",1527,999,1051,1535,780,435,661,614,839,631
"YGR224W",538,508,463,616,340,255,350,308,395,316
"YGR225W",133,100,95,142,62,14,25,32,54,34
"YGR226C",0,0,0,0,0,0,0,0,0,0
"YGR227W",644,470,409,681,410,251,391,299,461,385
"YGR228W",18,7,14,12,8,1,11,9,6,12
"YGR229C",1511,1339,1284,1758,904,673,1226,852,1253,1228
"YGR230W",308,201,205,293,181,64,97,96,119,109
"YGR231C",2767,2344,2363,2917,1793,1341,1652,1615,2455,1589
"YGR232W",1308,935,1023,1282,897,373,592,547,878,489
"YGR233C",548,436,406,574,310,630,841,787,1056,779
"YGR234W",393,372,342,378,234,3459,5243,3728,5513,5581
"YGR235C",1166,963,815,1281,809,391,601,588,799,588
"YGR236C",58,41,37,62,42,13,13,14,30,14
"YGR237C",1714,1323,1360,1859,1010,658,955,841,1386,844
"YGR238C",512,348,358,591,260,204,294,245,377,281
"YGR239C",291,258,250,322,233,88,144,100,168,131
"YGR240C",13177,11374,12113,11952,8618,7266,10053,7820,12889,9855
"YGR240C-A",69,30,46,70,37,20,61,48,48,44
"YGR241C",2074,1470,1425,2138,1274,958,1182,1092,1578,1198
"YGR242W",19,21,15,31,12,15,20,18,21,17
"YGR243W",1699,996,772,1550,731,407,871,885,1059,721
"YGR244C",4617,3540,3639,4514,2702,1625,1529,1797,2516,1352
"YGR245C",1152,1115,1278,1613,753,897,1574,934,1335,2050
"YGR246C",1120,956,1003,1278,658,330,499,395,648,542
"YGR247W",734,685,588,805,432,330,420,324,552,417
"YGR248W",1032,859,808,1057,734,466,552,539,986,446
"YGR249W",650,562,468,630,381,392,783,530,976,600
"YGR250C",1784,1549,1406,2007,1132,935,1427,1029,2002,1371
"YGR251W",181,159,163,176,149,102,211,116,168,235
"YGR252W",837,540,591,887,462,284,569,486,576,516
"YGR253C",4296,3579,3633,4342,3042,2011,2261,2134,3402,2392
"YGR254W",42094,37008,40247,39706,29378,26474,22339,25229,52857,21453
"YGR255C",1474,1166,1135,1577,951,601,807,776,1164,724
"tT(UGU)G2",0,0,0,0,0,0,0,0,0,0
"YGR256W",254,186,171,253,139,77,67,73,114,52
"YGR257C",1138,843,805,1053,677,579,833,717,1015,868
"YGR258C",1132,1028,1144,1421,677,426,585,437,709,530
"YGR259C",1,0,0,0,0,0,0,3,0,1
"YGR260W",3584,2891,2733,3676,2201,1599,2507,1926,2942,2353
"YGR261C",1118,1062,1076,1425,809,565,826,640,1024,774
"YGR262C",975,763,725,938,622,455,633,506,840,716
"YGR263C",410,329,284,435,257,127,262,197,270,236
"YGR264C",2441,2054,2078,2658,1581,1707,2825,1874,3072,2965
"YGR265W",10,4,5,9,2,3,5,3,3,3
"YGR266W",1392,1113,946,1478,767,433,671,591,732,640
"YGR267C",2464,2103,1964,2617,1745,1231,1385,1249,2043,1488
"YGR268C",968,889,816,973,785,691,458,454,1031,419
"YGR269W",23,22,15,30,16,12,22,12,24,18
"YGR270W",1945,1572,1850,2333,1175,841,1223,1017,1603,1118
"YGR270C-A",0,0,0,0,0,0,0,0,0,0
"YGR271W",896,676,780,981,555,410,704,520,788,634
"YGR271C-A",150,66,85,175,72,59,276,156,168,313
"YGR273C",1,1,0,2,0,1,4,2,1,3
"YGR274C",1194,871,915,1251,675,333,680,520,735,675
"YGR275W",767,619,584,823,548,366,497,431,614,497
"YGR276C",983,774,773,1085,680,393,675,541,778,673
"YGR277C",706,591,599,706,514,402,492,409,633,475
"YGR278W",381,284,309,481,238,130,252,199,253,230
"YGR279C",4949,5267,5322,6483,3323,3576,3925,3074,4624,4087
"YGR280C",562,447,477,746,384,331,933,536,735,1157
"YGR281W",1234,1021,1053,1427,778,987,1321,1256,1408,1400
"YGR282C",15845,13102,12737,15670,10222,6554,8441,7955,12831,8499
"YGR283C",452,304,314,443,249,193,412,284,397,425
"YGR284C",1828,1507,1443,1972,1237,637,972,809,1350,899
"YGR285C",8413,6912,7629,8771,5888,4451,7015,5101,8220,7771
"YGR286C",1210,613,697,1046,513,589,923,857,956,996
"YGR287C",539,418,401,498,268,204,234,218,323,218
"YGR288W",337,341,286,326,205,183,252,194,351,203
"YGR289C",1267,846,750,1122,628,313,580,462,628,430
"YGR290W",17,5,9,13,5,2,10,6,11,3
"YGR291C",1,2,0,2,0,0,0,1,0,2
"YGR292W",98,51,43,82,33,21,43,43,44,36
"YGR293C",9,6,7,9,7,2,10,3,2,7
"YGR294W",6,9,2,3,9,1,5,2,0,5
"YGR295C",1116,938,947,1210,763,453,761,629,1109,628
"YGR296W",0,0,0,0,0,0,0,0,0,0
"YGR296C-A",0,0,0,0,0,0,0,0,0,0
"YGR296C-B",0,0,0,0,0,0,0,0,0,0
"YLL067C",0,0,0,2,0,0,0,0,0,1
"YLL067W-A",0,0,0,0,0,0,0,0,0,0
"YLL066W-B",0,0,1,0,3,0,0,0,0,0
"YLL066C",1,6,3,3,6,2,0,1,1,1
"YLL066W-A",0,0,0,0,0,0,0,0,0,0
"YLL065W",0,0,0,0,0,0,0,0,1,0
"YLL064C",0,0,0,0,0,0,0,0,0,0
"YLL063C",279,214,199,275,199,110,167,138,178,132
"YLL062C",261,215,218,291,155,108,99,103,161,70
"YLL061W",1530,1308,1279,1695,915,456,346,344,530,336
"YLL060C",955,750,788,921,619,241,211,189,364,208
"YLL059C",56,60,42,73,44,22,23,20,29,28
"YLL058W",919,786,848,1021,575,377,378,374,692,319
"YLL057C",285,215,207,301,144,82,108,103,168,114
"YLL056C",269,263,290,325,187,81,96,97,162,127
"YLL055W",582,460,408,616,346,174,300,230,400,266
"YLL054C",213,162,184,251,129,98,245,193,240,252
"YLL053C",58,53,43,57,36,103,182,180,252,186
"YLL052C",36,29,24,31,22,86,112,100,165,137
"YLL051C",976,823,765,998,605,539,694,543,856,674
"YLL050C",7524,5886,5448,7677,4745,2267,3618,3217,5359,3623
"YLL049W",331,239,234,344,209,141,216,213,310,209
"YLL048C",2035,1868,1947,2404,1264,1154,1747,1241,1864,1757
"YLL047W",3,2,0,2,1,0,1,0,0,3
"YLL046C",3,0,1,1,1,0,2,2,0,1
"YLL045C",10569,9353,10471,10988,8138,6705,9386,6939,11807,10543
"YLL044W",5,2,4,5,2,0,1,1,1,1
"YLL043W",3851,3186,3433,4222,2396,1450,1858,1508,2285,1929
"YLL042C",42,39,26,33,29,13,45,25,47,38
"YLL041C",1619,1130,1077,1520,895,905,829,928,1490,771
"YLL040C",1937,1957,1918,2171,1483,1186,1028,1048,1695,965
"YLL039C",3855,3749,3400,4436,2750,2271,1876,2596,4166,1542
"YLL038C",194,186,201,183,110,149,173,98,208,193
"YLL037W",11,8,10,11,9,4,9,13,5,12
"YLL036C",681,498,527,713,428,336,645,414,611,603
"YLL035W",151,121,117,173,106,83,203,119,173,230
"YLL034C",353,244,313,364,197,216,613,303,374,650
"YLL033W",81,48,42,76,57,28,83,51,78,69
"YLL032C",265,214,217,304,194,138,290,196,279,307
"YLL031C",1058,758,679,966,569,411,761,586,673,707
"YLL030C",0,0,0,0,0,2,0,0,1,1
"YLL029W",2621,2230,2125,2747,1665,1106,1654,1344,2037,1515
"YLL028W",559,423,350,502,311,373,637,352,532,701
