"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YBL041W",4867,4051,3783,4837,3441,1965,2510,2186,3305,2390
"YBL040C",1554,1238,1088,1645,1081,421,886,706,1165,745
"YBL039W-B",245,125,157,268,148,45,89,100,144,89
"YBL039C",547,440,470,587,306,432,1078,529,787,1224
"YBL039C-A",0,0,0,0,0,0,0,0,0,0
"YBL038W",794,499,521,721,442,297,454,467,619,508
"YBL037W",663,537,514,648,366,389,451,430,614,459
"YBL036C",723,603,669,913,533,285,522,424,594,562
"YBL035C",260,219,276,274,205,121,175,154,230,167
"YBL034C",362,254,279,358,203,128,249,180,243,217
"YBL033C",1864,1493,1426,1608,1317,980,874,860,1385,853
"YBL032W",1951,1335,1405,1743,1110,927,1286,1104,1558,1321
"YBL031W",322,196,200,248,217,96,243,179,272,264
"YBL030C",5769,4845,5904,6068,3902,2611,2689,2918,4050,2670
"YBL029C-A",399,338,276,399,325,157,247,239,368,185
"YBL029W",578,429,410,561,347,189,309,281,400,283
"YBL028C",213,114,110,271,96,78,384,206,222,364
"YBL027W",15394,13235,14186,16238,10679,9204,13976,10553,16998,15304
"YBL026W",723,436,448,732,421,209,487,399,587,481
"YBL025W",219,179,153,215,135,64,134,115,163,139
"YBL024W",909,632,742,860,515,459,1187,719,958,1097
"YBL023C",888,665,681,907,502,339,520,387,581,498
"YBL022C",2046,1705,1721,2297,1199,1178,1485,1380,1968,1440
"YBL021C",491,392,375,447,363,248,292,247,368,329
"YBL020W",715,444,449,648,356,263,516,354,488,482
"YBL019W",357,226,261,369,199,118,186,169,227,172
"YBL018C",360,267,241,365,194,177,242,190,297,325
"YBL017C",3590,3059,3268,4136,2188,1628,1899,1581,2934,1712
"YBL016W",582,456,428,523,425,312,533,360,567,646
"YBL015W",1984,1555,1480,1974,998,741,629,605,990,559
"tI(AAU)B",0,0,0,0,0,0,0,0,0,0
"tG(GCC)B",0,0,0,0,0,0,0,0,0,0
"YBL014C",311,298,255,348,217,129,273,147,215,315
"YBL013W",58,65,60,56,26,40,54,39,36,39
"YBL012C",17,11,7,21,8,4,13,16,13,8
"YBL011W",2164,1763,1744,2418,1298,877,1324,1005,1466,1247
"YBL010C",314,260,243,329,209,107,156,122,168,172
"YBL009W",365,301,282,386,203,141,360,197,274,310
"YBL008W-A",2,3,2,2,3,2,2,3,6,3
"YBL008W",410,347,337,411,274,144,304,206,339,348
"YBL007C",4144,3717,3402,4380,2691,2282,2286,1953,3312,2178
